BusGroup,Feature,EventType,BinaryClass,Mean,Median,IQR,Minimum,Maximum,Count
Other feasible single-WMU buses,Switching-window dV energy,SSO_SLG_Fault,Fault,0.20948408423151207,0.1343890601260228,0.16751749130167357,0.0257032181158243,1.3928765166806465,150
Other feasible single-WMU buses,Switching-window dV energy,SSO_ThreePhase_Fault,Fault,9.399813975474633,0.18099462166723873,0.5253902011976523,0.0304278607143684,150.658475637206,150
Other feasible single-WMU buses,V RMS drop proxy,SSO_LoadSwitch,Non-fault,0.0035520649463106698,0.0030684779111623,0.0020628993535294,0.0018844406393307,0.0083830050344234,105
Other feasible single-WMU buses,V RMS drop proxy,SSO_Normal,Non-fault,0.0,0.0,0.0,0.0,0.0,15
Other feasible single-WMU buses,V RMS drop proxy,SSO_SLG_Fault,Fault,0.41159270892789207,0.39308722859832823,0.23795610356090013,0.0913741690910135,0.9717748739288504,150
Other feasible single-WMU buses,V RMS drop proxy,SSO_ThreePhase_Fault,Fault,0.42856839049183926,0.39287800680829094,0.22949870309542098,0.0955257906975634,0.9974325547891704,150
Other feasible single-WMU buses,V0 ratio,SSO_LoadSwitch,Non-fault,0.0170220215029984,0.0002800793528473,5.341308764010002e-05,0.0001871155315188,0.095741773120254,105
Other feasible single-WMU buses,V0 ratio,SSO_Normal,Non-fault,0.01695467303407291,0.0002617692206713,5.0219209803799986e-05,8.66898452941764e-05,0.0838697009822719,15
Other feasible single-WMU buses,V0 ratio,SSO_SLG_Fault,Fault,0.1634197351033923,0.13712741857594274,0.08963237062510068,0.0302554003541336,0.7386601073123538,150
Other feasible single-WMU buses,V0 ratio,SSO_ThreePhase_Fault,Fault,0.09495319954138162,0.055872986363633,0.0896193063767447,0.0020874974645981,0.9984915369893348,150
Other feasible single-WMU buses,V2 ratio,SSO_LoadSwitch,Non-fault,0.0014276973140717364,0.0004759072482881,8.28143925515e-05,0.0003540198375913,0.0062968324784941,105
Other feasible single-WMU buses,V2 ratio,SSO_Normal,Non-fault,0.0012677263519696599,0.0002130192654997,5.337003602460001e-05,0.0001741078365825,0.0055058224040663,15
Other feasible single-WMU buses,V2 ratio,SSO_SLG_Fault,Fault,0.11018858087443614,0.0976285794034738,0.07164659175039526,0.0121323833232688,0.392329482017571,150
Other feasible single-WMU buses,V2 ratio,SSO_ThreePhase_Fault,Fault,0.04753647732753348,0.0115827926203991,0.030651406499452246,0.0002798477655757,0.7726122690386122,150
Other feasible single-WMU buses,dI energy,SSO_LoadSwitch,Non-fault,0.002525157921927884,0.0010417581611492,0.0003651763483653001,0.0007993304900952,0.0090650989151841,105
Other feasible single-WMU buses,dI energy,SSO_Normal,Non-fault,0.00216340602128318,0.0008869077266941,0.00020979448183530008,0.0006881570541171,0.0072810118192762,15
Other feasible single-WMU buses,dI energy,SSO_SLG_Fault,Fault,0.16678305786057082,0.05511873371238215,0.12585090116024258,0.0046997473045312,4.139951734876044,150
Other feasible single-WMU buses,dI energy,SSO_ThreePhase_Fault,Fault,1.2877027871965845,0.07637034342336049,0.1362688431457934,0.0047430286607485,162.73171868278243,150
Other feasible single-WMU buses,dV E72 ratio,SSO_LoadSwitch,Non-fault,0.9798557170654211,0.9812302040153758,0.002879321563779569,0.9475868253780492,0.9825840759582732,105
Other feasible single-WMU buses,dV E72 ratio,SSO_Normal,Non-fault,0.2443200961445995,0.2445108143360391,0.0011891047967715895,0.2422209726042954,0.245529473182727,15
Other feasible single-WMU buses,dV E72 ratio,SSO_SLG_Fault,Fault,0.14539008794773328,0.14585051078823902,0.025591363841325238,0.0197287542693727,0.2700989749106504,150
Other feasible single-WMU buses,dV E72 ratio,SSO_ThreePhase_Fault,Fault,0.12672954864222333,0.14022523797925146,0.05304236639462212,0.0030024382587677,0.4621975619327103,150
Other feasible single-WMU buses,dV energy,SSO_LoadSwitch,Non-fault,0.012260968368342399,0.0118658357369377,0.0007710283952287993,0.0114207524843259,0.0143938195174265,105
Other feasible single-WMU buses,dV energy,SSO_Normal,Non-fault,0.01018873605490338,0.0098934806588216,0.0005676053149799003,0.0095669089751006,0.0116015934960124,15
Other feasible single-WMU buses,dV energy,SSO_SLG_Fault,Fault,0.20948408423151207,0.1343890601260228,0.16751749130167357,0.0257032181158243,1.3928765166806465,150
Other feasible single-WMU buses,dV energy,SSO_ThreePhase_Fault,Fault,9.399813975474633,0.18099462166723873,0.5253902011976523,0.0304278607143684,150.658475637206,150
Selected Bus 5,60-80 Hz dV ratio proxy,SSO_LoadSwitch,Non-fault,0.9811340114345407,0.9828945879429192,0.0002707017351492036,0.9505598031657636,0.9831154188453562,21
Selected Bus 5,60-80 Hz dV ratio proxy,SSO_Normal,Non-fault,0.24285318932995312,0.2428531893299531,0.0,0.2428531893299531,0.2428531893299531,3
Selected Bus 5,60-80 Hz dV ratio proxy,SSO_SLG_Fault,Fault,0.228198109558132,0.19014381919789164,0.11737708043647666,0.0698002242016069,0.6099539059015361,30
Selected Bus 5,60-80 Hz dV ratio proxy,SSO_ThreePhase_Fault,Fault,0.20164878784962273,0.16579284365491714,0.11006809342748616,0.0025010732081503,0.6036102708027237,30
Selected Bus 5,70-80 Hz dV ratio proxy,SSO_LoadSwitch,Non-fault,0.9811340114345407,0.9828945879429192,0.0002707017351492036,0.9505598031657636,0.9831154188453562,21
Selected Bus 5,70-80 Hz dV ratio proxy,SSO_Normal,Non-fault,0.24285318932995312,0.2428531893299531,0.0,0.2428531893299531,0.2428531893299531,3
Selected Bus 5,70-80 Hz dV ratio proxy,SSO_SLG_Fault,Fault,0.228198109558132,0.19014381919789164,0.11737708043647666,0.0698002242016069,0.6099539059015361,30
Selected Bus 5,70-80 Hz dV ratio proxy,SSO_ThreePhase_Fault,Fault,0.20164878784962273,0.16579284365491714,0.11006809342748616,0.0025010732081503,0.6036102708027237,30
Selected Bus 5,Balanced 67-77 Hz dV ratio,SSO_LoadSwitch,Non-fault,0.9799825959246571,0.9826344254571476,0.00020564117304577856,0.931132971137849,0.9827873753800442,21
Selected Bus 5,Balanced 67-77 Hz dV ratio,SSO_Normal,Non-fault,0.2307570832448443,0.2307570832448443,0.0,0.2307570832448443,0.2307570832448443,3
Selected Bus 5,Balanced 67-77 Hz dV ratio,SSO_SLG_Fault,Fault,0.228198109558132,0.19014381919789164,0.11737708043647666,0.0698002242016069,0.6099539059015361,30
Selected Bus 5,Balanced 67-77 Hz dV ratio,SSO_ThreePhase_Fault,Fault,0.19991545138806283,0.16409275222822195,0.11142967733761378,0.0025010732081503,0.6000469393386536,30
Selected Bus 5,Delta I unbalance,SSO_LoadSwitch,Non-fault,0.0027130395125771903,0.0027427804587807,0.00018531896384370002,0.0016329093765208,0.0043973914591198,21
Selected Bus 5,Delta I unbalance,SSO_Normal,Non-fault,0.0172773751409632,0.0172773751409632,0.0,0.0172773751409632,0.0172773751409632,3
